City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Felipe,21,VE,1586733338,74,10.34,-68.74,74.16,4.88
Hermanus,5,ZA,1586733339,93,-34.42,19.23,55.99,3.62
Hithadhoo,20,MV,1586733340,69,-0.6,73.08,84.47,8.14
Vaini,20,TO,1586733341,69,-21.2,-175.2,80.6,6.93
Busselton,67,AU,1586733233,72,-33.65,115.33,61.0,5.99
Mar del Plata,90,AR,1586733275,82,-38.0,-57.56,64.4,14.99
Pyinmana,12,MM,1586733344,42,19.73,96.22,73.15,2.57
Ribeira Grande,5,PT,1586733345,78,38.52,-28.7,61.74,7.11
Hilo,1,US,1586733346,65,19.73,-155.09,82.4,11.41
George Town,20,MY,1586733348,94,5.41,100.34,80.6,2.24
Gizo Government Station,92,SB,1586733349,69,-8.1,156.84,86.41,3.04
Thompson,75,CA,1586733312,47,55.74,-97.86,14.0,10.29
Avarua,97,CK,1586733351,88,-21.21,-159.78,82.4,3.36
Yellowknife,5,CA,1586733352,44,62.46,-114.35,21.99,5.82
Bluff,78,NZ,1586733353,79,-46.6,168.33,46.0,10.0
Jamestown,90,US,1586733354,38,42.1,-79.24,64.4,6.93
Tabou,100,CI,1586733356,86,4.42,-7.35,80.1,5.17
Saldanha,0,ZA,1586733357,81,-33.01,17.94,53.6,3.36
Jerome,20,US,1586733358,21,42.72,-114.52,55.0,19.46
Vardø,90,NO,1586733359,92,70.37,31.11,28.4,23.04
Makakilo City,20,US,1586733264,57,21.35,-158.09,82.4,11.41
Hobart,75,AU,1586733234,81,-42.88,147.33,55.99,3.36
Barrow,90,US,1586733363,92,71.29,-156.79,26.6,5.82
Iqaluit,90,CA,1586733364,79,63.75,-68.51,19.4,19.46
Mataura,73,NZ,1586733365,79,-46.19,168.86,46.0,10.0
Cape Town,0,ZA,1586733073,82,-33.93,18.42,55.99,3.36
Ushuaia,90,AR,1586733068,87,-54.8,-68.3,42.8,21.92
Nouadhibou,44,MR,1586733369,70,20.93,-17.03,67.77,22.12
Urucará,100,BR,1586733370,96,-2.54,-57.76,76.08,2.66
Kīhei,20,US,1586733371,65,20.79,-156.47,78.8,12.75
Kapaa,1,US,1586733372,61,22.08,-159.32,78.8,9.17
Haines Junction,82,CA,1586733373,57,60.75,-137.51,37.94,7.11
Balkanabat,18,TM,1586733374,47,39.51,54.37,53.1,8.19
Sendai,75,JP,1586733114,93,38.27,140.87,46.4,8.05
Coahuayana Viejo,40,MX,1586733377,54,18.73,-103.68,84.2,17.22
Kenai,90,US,1586733378,80,60.55,-151.26,41.0,14.99
Øksfjord,100,NO,1586733379,74,70.24,22.35,30.2,24.16
Manokwari,97,ID,1586733380,68,-0.87,134.08,83.66,3.44
Laredo,1,US,1586733381,7,27.51,-99.51,98.6,18.34
Komsomolets,45,KZ,1586733383,73,53.75,62.07,40.23,7.02
Grindavik,75,IS,1586733384,100,63.84,-22.43,42.8,21.92
Port Hawkesbury,55,CA,1586733385,58,45.62,-61.35,41.0,6.78
Tivaouane,22,SN,1586733386,83,14.95,-16.81,71.6,13.87
Cidreira,60,BR,1586733387,78,-30.18,-50.21,66.97,14.92
Naze,75,JP,1586733388,44,28.37,129.48,62.6,19.46
Souillac,40,MU,1586733390,83,-20.52,57.52,77.0,12.75
Rikitea,45,PF,1586733391,78,-23.12,-134.97,77.95,17.87
Esperance,90,AU,1586733392,100,-33.87,121.9,62.6,6.31
Puerto Ayora,75,EC,1586733393,88,-0.74,-90.35,80.6,5.82
Havre-St-Pierre,1,CA,1586733394,64,50.23,-63.6,35.6,13.87
Altamira,83,BR,1586733395,89,-3.2,-52.21,74.5,1.16
Kavaratti,21,IN,1586733397,72,10.57,72.64,84.38,7.76
Nikolskoye,90,RU,1586733398,87,59.7,30.79,42.8,13.42
Kangaatsiaq,89,GL,1586733399,92,68.31,-53.46,33.87,15.88
Irecê,67,BR,1586733291,67,-11.3,-41.86,72.82,3.0
Freeport,75,US,1586733214,71,40.66,-73.58,64.4,20.8
Yabēlo,90,ET,1586733402,59,4.88,38.08,59.45,5.66
Carutapera,98,BR,1586733403,84,-1.2,-46.02,80.37,9.6
Port Hedland,75,AU,1586733405,83,-20.32,118.57,78.8,5.82
Mahébourg,40,MU,1586733406,83,-20.41,57.7,77.0,12.75
Ahipara,16,NZ,1586733407,72,-35.17,173.17,65.05,21.88
Chokurdakh,52,RU,1586733408,91,70.63,147.92,-1.59,7.63
Punta Arenas,40,CL,1586733249,71,-53.15,-70.92,50.0,32.21
Torbay,27,CA,1586733410,62,47.67,-52.73,39.0,1.01
Port Elizabeth,6,ZA,1586733192,72,-33.92,25.57,59.0,4.7
Upernavik,100,GL,1586733185,98,72.79,-56.15,29.53,5.28
Shitanjing,35,CN,1586733413,8,39.23,106.34,52.0,1.99
Kindu,100,CD,1586733415,86,-2.95,25.95,69.75,2.51
Nanortalik,83,GL,1586733416,97,60.14,-45.24,31.75,18.32
Provideniya,90,RU,1586733417,80,64.38,-173.3,30.2,11.18
Dingle,23,PH,1586733418,64,11.0,122.67,82.31,2.44
Muros,75,ES,1586733419,93,42.78,-9.06,57.0,13.87
Sistranda,75,NO,1586733420,79,63.73,8.83,37.99,44.96
Tilichiki,1,RU,1586733422,90,60.47,166.1,14.05,7.0
Hualmay,39,PE,1586733423,77,-11.1,-77.61,72.86,7.92
Longyearbyen,75,SJ,1586733424,70,78.22,15.64,-4.0,3.36
Santa Marta,40,CO,1586733425,49,11.24,-74.2,93.2,17.22
Tuktoyaktuk,20,CA,1586733426,79,69.45,-133.04,21.2,4.7
Piet Retief,0,ZA,1586733428,44,-27.01,30.81,60.4,6.51
Tūkrah,0,LY,1586733429,64,32.53,20.58,57.81,9.66
Tiksi,98,RU,1586733431,96,71.69,128.87,23.38,10.78
Atuona,6,PF,1586733432,68,-9.8,-139.03,82.27,3.76
Antalaha,56,MG,1586733433,84,-14.9,50.28,77.52,8.63
Severo-Kuril'sk,81,RU,1586733434,93,50.68,156.12,30.81,9.08
Dwārka,0,IN,1586733435,74,22.24,68.97,79.9,15.57
Burnie,92,AU,1586733436,7,-41.07,145.92,54.0,7.0
Vila Velha,90,BR,1586733437,69,-20.33,-40.29,75.2,12.75
Cherskiy,97,RU,1586733439,96,68.75,161.3,18.19,7.61
Meulaboh,96,ID,1586733440,81,4.14,96.13,79.32,4.34
Kalmunai,35,LK,1586733441,80,7.42,81.82,80.85,4.32
Albany,75,US,1586733442,29,42.6,-73.97,60.8,12.75
Guarda,70,PT,1586733197,93,40.54,-7.27,55.99,4.0
Kavieng,98,PG,1586733444,73,-2.57,150.8,83.7,2.91
Port Alfred,12,ZA,1586733445,81,-33.59,26.89,60.01,3.0
Dunedin,87,NZ,1586733425,61,-45.87,170.5,51.01,1.99
Broken Hill,11,AU,1586733447,47,-31.95,141.43,55.4,5.82
Flinders,100,AU,1586733449,67,-34.58,150.86,69.01,9.17
Salinópolis,99,BR,1586733450,83,-0.61,-47.36,81.72,14.76
Tshane,67,BW,1586733451,28,-24.02,21.87,73.85,1.41
Tuy Hoa,100,VN,1586733452,82,13.08,109.3,78.51,9.75
